Zip,RegionName
8553,Rocky Hill
8555,Roosevelt
8558,Skillman
8559,Stockton
8701,Lakewood
8720,Allenwood
8721,Bayville
8722,Beachwood
8723,Brick
8724,Brick
8730,Brielle
8731,Forked River
8732,Island Heights
8733,Lakehurst
8734,Lanoka Harbor
8735,Lavallette
8736,Manasquan
8738,Mantoloking
8740,Ocean Gate
8741,Pine Beach
8742,Point Pleasant
8750,Sea Girt
8751,Seaside Heights
8752,Seaside Park
8753,Toms River
8755,Toms River
8757,Holiday City-Berkeley
8758,Waretown
8759,Manchester Township
8801,Annandale
8802,Asbury
8804,Bloomsbury
8805,Bound Brook
8807,Bradley Gardens
8809,Clinton
8810,Dayton
8812,Dunellen
8816,East Brunswick
8817,Edison
8820,Edison
8821,Flagtown
8822,Flemington
8823,Franklin Park
8824,Kendall Park
8825,Frenchtown
8826,Glen Gardner
8827,Hampton
8828,Helmetta
8829,High Bridge
8830,Iselin
8831,Monroe Township
8832,Keasbey
8833,Lebanon
8835,Manville
8836,Martinsville
8837,Edison
8840,Metuchen
8844,Hillsborough
8846,Middlesex
8848,Milford
8850,Milltown
8852,Monmouth Junction
8853,Neshanic Station
8854,Piscataway
8857,Old Bridge
8858,Oldwick
8859,Sayreville
8861,Perth Amboy
8863,Fords
8867,Pittstown
8869,Raritan
8872,Sayreville
8873,Somerset
8876,Somerville
8879,South Amboy
8880,South Bound Brook
8882,South River
8884,Spotswood
8887,Three Bridges
8889,Whitehouse Station
8890,Zarephath
8901,New Brunswick
8902,North Brunswick
8904,Highland Park
